"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Marijampolės apskr.","Šakių r.","20-29",1498
"Tauragės apskr.","Šilalės r.","80+",830
"Alytaus apskr.","Alytaus m.","30-39",2341
"Utenos apskr.","Anykščių r.","70-79",894
"Tauragės apskr.","Jurbarko r.","30-39",809
"Kauno apskr.","Kauno r.","50-59",6096
"Marijampolės apskr.","Kazlų Rūdos","30-39",441
"Kauno apskr.","Raseinių r.","30-39",789
"Vilniaus apskr.","Vilniaus m.","50-59",26455
"Alytaus apskr.","Alytaus r.","70-79",1451
"Marijampolės apskr.","Kazlų Rūdos","60-69",585
"Šiaulių apskr.","Kelmės r.","80+",1357
"Telšių apskr.","Telšių r.","70-79",2203
"Marijampolės apskr.","Vilkaviškio r.","80+",569
"Vilniaus apskr.","Vilniaus r.","30-39",7032
"Marijampolės apskr.","Šakių r.","70-79",1513
"Alytaus apskr.","Alytaus m.","40-49",2836
"Šiaulių apskr.","Joniškio r.","30-39",652
"Kauno apskr.","Kėdainių r.","70-79",2831
"Marijampolės apskr.","Marijampolės","20-29",2693
"Tauragės apskr.","Tauragės r.","30-39",1059
"Šiaulių apskr.","Šiaulių m.","50-59",6272
"Kauno apskr.","Kauno r.","70-79",2386
"Marijampolės apskr.","Kazlų Rūdos","80+",492
"Alytaus apskr.","Varėnos r.","60-69",1294
"Marijampolės apskr.","Šakių r.","60-69",1528
"Šiaulių apskr.","Šiaulių m.","40-49",7148
"Vilniaus apskr.","Švenčionių r.","20-29",1252
"Alytaus apskr.","Alytaus r.","60-69",1705
"Kauno apskr.","Kaišiadorių r.","80+",439
"Šiaulių apskr.","Kelmės r.","20-29",1191
"Telšių apskr.","Mažeikių r.","70-79",1314
"Kauno apskr.","Prienų r.","60-69",1551
"Tauragės apskr.","Tauragės r.","20-29",1823
"Vilniaus apskr.","Trakų r.","40-49",2135
"Vilniaus apskr.","Elektrėnų","70-79",717
"Šiaulių apskr.","Joniškio r.","80+",939
"Tauragės apskr.","Jurbarko r.","40-49",1228
"Tauragės apskr.","Jurbarko r.","70-79",809
"Utenos apskr.","Utenos r.","20-29",2085
"Vilniaus apskr.","Vilniaus m.","60-69",33307
"Klaipėdos apskr.","Klaipėdos r.","30-39",3013
"Klaipėdos apskr.","Klaipėdos r.","60-69",3286
"Tauragės apskr.","Pagėgių","60-69",431
"Kauno apskr.","Raseinių r.","50-59",2147
"Klaipėdos apskr.","Skuodo r.","50-59",1128
"Klaipėdos apskr.","Šilutės r.","80+",1632
"Utenos apskr.","Ignalinos r.","20-29",652
"Klaipėdos apskr.","Klaipėdos r.","70-79",2236
"Marijampolės apskr.","Marijampolės","70-79",1456
"Klaipėdos apskr.","Neringos","20-29",142
"Panevėžio apskr.","Rokiškio r.","40-49",1535
"Vilniaus apskr.","Širvintų r.","30-39",559
"Panevėžio apskr.","Biržų r.","70-79",1499
"Kauno apskr.","Kauno r.","20-29",5283
"Klaipėdos apskr.","Klaipėdos r.","60-69",2945
"Kauno apskr.","Prienų r.","50-59",1790
"Vilniaus apskr.","Širvintų r.","60-69",1010
"Vilniaus apskr.","Širvintų r.","70-79",452
"Alytaus apskr.","Alytaus r.","50-59",1988
"Utenos apskr.","Anykščių r.","60-69",1736
"Marijampolės apskr.","Kalvarijos","50-59",710
"Kauno apskr.","Kauno r.","60-69",5327
"Utenos apskr.","Molėtų r.","40-49",972
