"lab_name","day","test_type","tests_positive","gmp_indication","tests"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-24,"1477",0,"kiti",208
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-24,"1477",0,"simptomai",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-25,"1477",0,"simptomai",6
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-25,"1477",0,"kiti",132
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-25,"1477",0,"profilaktika",262
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-26,"1477",0,"simptomai",20
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-26,"1477",0,"profilaktika",864
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-26,"1477",3,"kiti",228
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-27,"1477",0,"profilaktika",586
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-27,"1477",0,"kiti",44
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-27,"1477",0,"simptomai",6
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-28,"1477",0,"profilaktika",210
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-28,"1477",0,"kontaktai",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-28,"1477",0,"simptomai",10
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-28,"1477",0,"kiti",261
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-29,"1477",0,"profilaktika",430
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-29,"1477",0,"kiti",193
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-29,"1477",0,"simptomai",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-30,"1477",0,"profilaktika",552
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-30,"1477",0,"kiti",321
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-30,"1477",0,"kontaktai",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-30,"1477",0,"simptomai",13
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-01,"1477",1,"simptomai",10
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-01,"1477",0,"profilaktika",509
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-01,"1477",0,"kiti",202
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-02,"1477",1,"profilaktika",503
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-02,"1477",0,"kiti",169
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-02,"1477",0,"simptomai",12
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-03,"1477",0,"simptomai",14
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-03,"1477",0,"profilaktika",567
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-03,"1477",0,"kiti",136
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-04,"1477",0,"profilaktika",152
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-04,"1477",0,"simptomai",13
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-07-04,"1477",0,"kiti",102
