"day","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2020-05-24,1.01970387553462,0.115975429666997,0.805275008271665,0.836630791978223,0.939302273489867,1.01527182953352,1.09526093896488,1.21787309680558,1.2593384588043
2020-05-25,0.965944436880789,0.11249389632622,0.75804588734776,0.788639760133879,0.887907283591995,0.961489321230366,1.03900028856557,1.15827138172786,1.19881703656924
2020-05-26,0.801558637769596,0.10300244886064,0.612923577468498,0.640172998491197,0.729900397764257,0.797143419219001,0.868367298686601,0.978203236710246,1.0161920572181
2020-05-27,0.789649592981555,0.111007374727739,0.59164609868498,0.619548868180285,0.711999303605809,0.782867319748281,0.859964618594667,0.98317927923287,1.02621242610135
2020-05-28,0.808120175252315,0.121435549406843,0.594659115626275,0.623997271984005,0.722629146728074,0.799381272500822,0.884319959143246,1.02178830858527,1.06991641663079
2020-05-29,0.752796653464515,0.120677595840995,0.540775858592787,0.569456068575678,0.667397704187799,0.744259426918209,0.829245803721629,0.96510859516275,1.01220502956497
2020-05-30,0.779390695033499,0.132100504175613,0.550540458389365,0.580931447923126,0.685295661286209,0.769000378618018,0.862800390901458,1.01344887750577,1.06477325207687
2020-05-31,0.723191871579163,0.128483665535079,0.499083851217404,0.529018481389751,0.631802714284261,0.713789138783779,0.80501832911674,0.949583406507579,0.999629872205581
2020-06-01,0.790058401545023,0.14393315692009,0.542145886723139,0.574966869612678,0.687288132564513,0.778105935992263,0.880653466825487,1.04588508900261,1.1024727325409
2020-06-02,0.741199313568718,0.13674301838833,0.502831966712483,0.534496503074998,0.643774920248259,0.731147150098293,0.827963792000758,0.982059189679898,1.03525715134349
2020-06-03,0.711221755271065,0.138363573574576,0.472198115359007,0.504140405590247,0.612512241437908,0.700131327026606,0.798046294908143,0.956261771227826,1.01168291210666
2020-06-04,0.763170938425737,0.152154554657564,0.503923546032069,0.537289830537021,0.654385455633663,0.750172340096625,0.858021389131424,1.03423885912972,1.09659807320189
2020-06-05,0.878404927809528,0.166989216883394,0.589590328964872,0.627572541005717,0.759138081080982,0.865402521850701,0.983819011865401,1.17358352021522,1.23924990344124
2020-06-06,1.00769171574877,0.172686292080143,0.701073494657067,0.743021583974242,0.885651364784259,0.997029514441372,1.11830615323292,1.30876607397388,1.37444472735688
2020-06-07,1.09837287261293,0.171974551254988,0.789689615945763,0.832874960913748,0.977639441570629,1.08882711026309,1.20835311672364,1.39709088818031,1.46209644747814
2020-06-08,1.12466742392768,0.171431081015639,0.817400364959655,0.860529044992056,1.00460446369828,1.11465240463957,1.23415745280571,1.42233506336912,1.48782631927039
2020-06-09,1.18786135169733,0.177963072040125,0.868845324261245,0.913883249366669,1.0631376522397,1.17768487302979,1.3012342051859,1.49706881270155,1.56566251343348
2020-06-10,1.48684724614773,0.207086477259432,1.11527195497614,1.16773902123682,1.34152523240296,1.47530535459929,1.61949337031957,1.84629006227977,1.92476179837687
2020-06-11,1.37362625315379,0.226581111794039,0.962762625371132,1.01726685724459,1.21244613673655,1.36491023333547,1.52363286133598,1.76093913642976,1.84122504009548
2020-06-12,1.21169839140432,0.2099191116304,0.847097223409596,0.893714166644291,1.05937325230533,1.19705213883864,1.34859631791867,1.57959740752548,1.65716615712449
2020-06-13,1.07905985322045,0.178485595933845,0.772862349371971,0.813380764860913,0.951734801196556,1.06372284764385,1.19081683149304,1.39694953920555,1.46824781313971
2020-06-14,1.00957405549545,0.153531102609412,0.739373574363049,0.776798813205984,0.902011682164787,0.99888983489572,1.10540171046624,1.27924797197799,1.34084939629456
2020-06-15,0.93682573095743,0.137480964696378,0.688568194781882,0.723886957306053,0.840682803627523,0.929436230220779,1.02495937276104,1.17477288014863,1.22686879956253
2020-06-16,0.862587414810299,0.130194214445001,0.626988767107334,0.660431019285388,0.771500287300472,0.856009537689302,0.946514561575015,1.0876870464031,1.13579227325851
2020-06-17,0.631651051845465,0.11465508634609,0.428431949145007,0.456420062197684,0.551144940455755,0.624185529089,0.704363029485648,0.832040384452696,0.8766178023918
2020-06-18,0.760787199963995,0.154549090247821,0.507263407187382,0.539548709988599,0.65138880776808,0.743430935441272,0.85109637618728,1.04309848396879,1.11438824314502
2020-06-19,0.714715658238205,0.149354713514121,0.462175574916706,0.494372946052454,0.607848099347354,0.700785876293103,0.807346170145655,0.982501073980071,1.04314841733899
2020-06-20,0.717544767004836,0.157040595416812,0.45332807806086,0.486622391399798,0.604813606196715,0.702677180859517,0.814854061375904,0.999186603586748,1.06390461089035
2020-06-21,0.720696720551068,0.162196957648428,0.447685604456009,0.48178300411069,0.604120246223814,0.705628098260237,0.821301486762054,1.01149081103732,1.07753814832103
2020-06-22,0.748425161888612,0.169325333147681,0.462351321910679,0.4986029512589,0.62677175534988,0.732812668425675,0.854027018261868,1.05109516604348,1.12047713168529
2020-06-23,0.772386110810912,0.17334258579899,0.478096703718614,0.515439102262682,0.647888395025926,0.757159564502944,0.880505747284667,1.0813096416594,1.1520564106867
2020-06-24,0.70090536054599,0.163380017436105,0.423098677199341,0.458753297395162,0.584172035864936,0.686533385200722,0.80249811158067,0.991515371306909,1.05893518094937
2020-06-25,0.559279822049238,0.150032046121524,0.310294604380118,0.341720036093513,0.451850495961463,0.543902012976897,0.649970290545614,0.829682460562238,0.894875541086874
2020-06-26,0.696665707494843,0.195468298311103,0.386896582170737,0.424122140673263,0.557014258026676,0.671046052783083,0.809339195324967,1.05716932276823,1.14972405483556
2020-06-27,0.713468285104199,0.198840728254098,0.391517688218782,0.430172425146751,0.57040190396703,0.690150373911516,0.832178508930662,1.07609649926676,1.16481693635054
