"ab_neg_day","ab_pos_day","ab_prc_day","ab_tot_day","ag_neg_day","ag_pos_day","ag_prc_day","ag_tot_day","date","dgn_neg_day","dgn_pos_day","dgn_prc_day","dgn_tot_day","dgn_tot_day_gmp","municipality_code","pcr_neg_day","pcr_pos_day","pcr_prc_day","pcr_tot_day","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","daily_deaths_all","incidence","cumulative_totals","active_de_jure","active_sttstcl","dead_cases","recovered_de_jure","recovered_sttstcl","municipality_name","population","map_colors"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"33",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Alytaus r. sav.",25837,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"34",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Anykščių r. sav.",22623,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"36",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"Biržų r. sav.",22292,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Varėnos r. sav.",20522,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"39",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Vilkaviškio r. sav.",34219,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",8,0,0,8,0,"41",8,0,0,8,0,0,0,2,0,0,0,0,0,0,0,"Vilniaus r. sav.",102008,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",5,0,0,5,0,"42",5,0,0,5,0,0,0,2,0,0,0,0,0,0,0,"Elektrėnų sav.",24103,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"43",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Zarasų r. sav.",14635,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,2,100,2,0,"45",0,2,100,2,0,0,0,1,2,2,2,2,0,0,0,"Ignalinos r. sav.",14125,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",2,0,0,2,0,"46",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Jonavos r. sav.",40746,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"47",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Joniškio r. sav.",20343,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kalvarijos sav.",9952,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",2,0,0,2,0,"49",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Kaišiadorių r. sav.",29188,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",5,0,0,5,0,"52",5,0,0,5,0,0,0,2,0,1,1,1,0,0,0,"Kauno r. sav.",97546,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",3,0,0,3,0,"53",3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,"Kėdainių r. sav.",44747,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"54",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Kelmės r. sav.",24829,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",8,0,0,8,0,"55",8,0,0,8,0,0,0,1,0,0,0,0,0,0,0,"Klaipėdos r. sav.",62634,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",4,0,0,4,0,"56",4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,"Kretingos r. sav.",37316,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kupiškio r. sav.",16061,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Kazlų Rūdos sav.",11137,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"59",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Lazdijų r. sav.",17843,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"61",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Mažeikių r. sav.",50782,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"62",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Molėtų r. sav.",16873,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pagėgių sav.",7123,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pakruojo r. sav.",18213,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Panevėžio r. sav.",35188,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pasvalio r. sav.",22337,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"68",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Plungės r. sav.",32627,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"69",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Prienų r. sav.",25465,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Radviliškio r. sav.",34576,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",3,1,25,4,0,"72",3,1,25,4,0,0,0,1,1,1,1,1,0,0,0,"Raseinių r. sav.",30608,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"73",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Rokiškio r. sav.",27511,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rietavo sav.",7174,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"75",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Skuodo r. sav.",15663,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",2,0,0,2,0,"77",2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,"Tauragės r. sav.",37322,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"78",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Telšių r. sav.",38759,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"79",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Trakų r. sav.",33204,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"81",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Ukmergės r. sav.",33049,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",2,0,0,2,0,"82",2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,"Utenos r. sav.",37073,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Šakių r. sav.",26068,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",2,0,0,2,0,"85",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Šalčininkų r. sav.",30264,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,1,50,2,0,"86",1,1,50,2,0,0,0,2,1,1,1,1,0,0,0,"Švenčionių r. sav.",22495,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"87",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Šilalės r. sav.",21428,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",7,0,0,7,0,"88",7,0,0,7,0,0,0,3,0,0,0,0,0,0,0,"Šilutės r. sav.",37076,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Širvintų r. sav.",14907,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"91",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Šiaulių r. sav.",41551,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"94",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jurbarko r. sav.",24235,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",280,27,8.8,307,0,"00",280,27,8.8,307,0,0,0,109,27,59,59,59,0,0,0,"Lietuva",2795175,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",1,0,0,1,0,"11",1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,"Alytaus m. sav.",49195,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",0,0,0,0,0,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birštono sav.",4035,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",199,16,7.4,215,0,"13",199,16,7.4,215,0,0,0,18,17,34,34,34,0,0,0,"Vilniaus m. sav.",569729,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",0,0,0,0,0,"15",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Druskininkų sav.",19011,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-22",1,0,0,1,0,"18",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Marijampolės sav.",53472,"Juoda D"
