"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
2,0,0,0,2020-03-23,0,0,0,0,0,"84","Šakių r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"85","Šalčininkų r. sav."
1,0,0,0,2020-03-23,2,1,28.6,100,1,"86","Švenčionių r. sav."
1,0,0,0,2020-03-23,0,0,0,0,2,"87","Šilalės r. sav."
1,0,0,0,2020-03-23,0,0,0,0,4,"88","Šilutės r. sav."
1,0,0,0,2020-03-23,0,0,0,0,0,"89","Širvintų r. sav."
1,0,0,0,2020-03-23,0,0,0,0,0,"91","Šiaulių r. sav."
0,0,0,0,2020-03-23,0,0,0,0,1,"94","Jurbarko r. sav."
124,1,1,1,2020-03-24,113,25,8.1,6.2,403,"00","Lietuva"
2,0,0,0,2020-03-24,0,0,0,0,2,"11","Alytaus m. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"12","Birštono sav."
20,0,0,0,2020-03-24,53,9,7.8,6.5,138,"13","Vilniaus m. sav."
1,0,0,0,2020-03-24,0,0,0,0,0,"15","Druskininkų sav."
3,0,0,0,2020-03-24,0,0,0,0,1,"18","Marijampolės sav."
13,0,0,0,2020-03-24,14,2,6.1,2.6,78,"19","Kauno m. sav."
5,0,0,0,2020-03-24,19,4,12.6,5.8,69,"21","Klaipėdos m. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"23","Neringos sav."
0,0,0,0,2020-03-24,0,0,0,0,6,"25","Palangos m. sav."
2,0,0,0,2020-03-24,2,1,50,50,2,"27","Panevėžio m. sav."
5,0,0,0,2020-03-24,0,0,0,0,8,"29","Šiaulių m. sav."
2,0,0,0,2020-03-24,0,0,0,0,0,"30","Visagino sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"32","Akmenės r. sav."
1,0,0,0,2020-03-24,0,0,0,0,1,"33","Alytaus r. sav."
3,0,0,0,2020-03-24,0,0,0,0,1,"34","Anykščių r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"36","Biržų r. sav."
